2026-05-06 00:00:42.282 | INFO     | Backtest   | [回测 4/5] 模拟第 3401/4821 笔交易: 乾照光电...
2026-05-06 00:00:42.474 | INFO     | Backtest   | [回测 4/5] 模拟第 3411/4821 笔交易: 南京银行...
2026-05-06 00:00:42.674 | INFO     | Backtest   | [回测 4/5] 模拟第 3421/4821 笔交易: 康普顿...
2026-05-06 00:00:42.897 | INFO     | Backtest   | [回测 4/5] 模拟第 3431/4821 笔交易: 吉祥航空...
2026-05-06 00:00:43.104 | INFO     | Backtest   | [回测 4/5] 模拟第 3441/4821 笔交易: 朗姿股份...
2026-05-06 00:00:43.318 | INFO     | Backtest   | [回测 4/5] 模拟第 3451/4821 笔交易: 冠昊生物...
2026-05-06 00:00:43.513 | INFO     | Backtest   | [回测 4/5] 模拟第 3461/4821 笔交易: 升达林业...
2026-05-06 00:00:43.670 | INFO     | Backtest   | [回测 4/5] 模拟第 3471/4821 笔交易: 欧普康视...
2026-05-06 00:00:43.876 | INFO     | Backtest   | [回测 4/5] 模拟第 3481/4821 笔交易: 鼎汉技术...
2026-05-06 00:00:44.121 | INFO     | Backtest   | [回测 4/5] 模拟第 3491/4821 笔交易: 星球石墨...
2026-05-06 00:00:44.331 | INFO     | Backtest   | [回测 4/5] 模拟第 3501/4821 笔交易: 春立医疗...
2026-05-06 00:00:44.532 | INFO     | Backtest   | [回测 4/5] 模拟第 3511/4821 笔交易: 华海药业...
2026-05-06 00:00:44.776 | INFO     | Backtest   | [回测 4/5] 模拟第 3521/4821 笔交易: 千红制药...
2026-05-06 00:00:45.014 | INFO     | Backtest   | [回测 4/5] 模拟第 3531/4821 笔交易: 四川双马...
2026-05-06 00:00:45.227 | INFO     | Backtest   | [回测 4/5] 模拟第 3541/4821 笔交易: 洽洽食品...
2026-05-06 00:00:45.443 | INFO     | Backtest   | [回测 4/5] 模拟第 3551/4821 笔交易: 诚意药业...
2026-05-06 00:00:45.689 | INFO     | Backtest   | [回测 4/5] 模拟第 3561/4821 笔交易: 创力集团...
2026-05-06 00:00:45.901 | INFO     | Backtest   | [回测 4/5] 模拟第 3571/4821 笔交易: 氯碱化工...
2026-05-06 00:00:46.090 | INFO     | Backtest   | [回测 4/5] 模拟第 3581/4821 笔交易: 同兴达...
2026-05-06 00:00:46.352 | INFO     | Backtest   | [回测 4/5] 模拟第 3591/4821 笔交易: 新朋股份...
2026-05-06 00:00:46.567 | INFO     | Backtest   | [回测 4/5] 模拟第 3601/4821 笔交易: 中汽股份...
2026-05-06 00:00:46.809 | INFO     | Backtest   | [回测 4/5] 模拟第 3611/4821 笔交易: 万顺新材...
2026-05-06 00:00:47.026 | INFO     | Backtest   | [回测 4/5] 模拟第 3621/4821 笔交易: 万通智控...
