2026-05-17 00:02:13.521 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250429...
2026-05-17 00:02:14.287 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250428...
2026-05-17 00:02:15.079 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250425...
2026-05-17 00:02:15.872 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250424...
2026-05-17 00:02:19.420 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250423...
2026-05-17 00:02:20.175 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250422...
2026-05-17 00:02:20.962 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250421...
2026-05-17 00:02:21.772 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250418...
2026-05-17 00:02:22.573 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250417...
2026-05-17 00:02:23.358 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250416...
2026-05-17 00:02:24.149 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250415...
2026-05-17 00:02:24.894 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250414...
2026-05-17 00:02:25.702 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250411...
2026-05-17 00:02:26.473 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250410...
2026-05-17 00:02:27.233 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250409...
2026-05-17 00:02:27.994 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250408...
2026-05-17 00:02:28.781 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250407...
2026-05-17 00:02:29.607 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250403...
2026-05-17 00:02:30.412 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250402...
2026-05-17 00:02:31.173 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250401...
2026-05-17 00:02:32.065 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250331...
2026-05-17 00:02:33.010 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250328...
2026-05-17 00:02:33.816 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250327...
2026-05-17 00:02:34.620 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250326...
2026-05-17 00:02:35.410 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250325...
2026-05-17 00:02:36.238 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250324...
2026-05-17 00:02:37.046 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250321...
2026-05-17 00:02:37.869 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250320...
2026-05-17 00:02:38.688 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250319...
2026-05-17 00:02:39.471 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250318...
2026-05-17 00:02:40.275 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250317...
2026-05-17 00:02:41.080 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250314...
2026-05-17 00:02:41.886 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250313...
2026-05-17 00:02:42.733 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250312...
2026-05-17 00:02:43.545 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250311...
2026-05-17 00:02:44.326 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250310...
2026-05-17 00:02:45.148 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250307...
2026-05-17 00:02:45.916 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250306...
2026-05-17 00:02:46.708 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250305...
2026-05-17 00:02:47.503 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250304...
2026-05-17 00:02:48.361 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250303...
2026-05-17 00:02:49.139 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250228...
2026-05-17 00:02:49.971 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250227...
2026-05-17 00:02:50.767 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250226...
2026-05-17 00:02:51.539 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250225...
2026-05-17 00:02:52.341 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250224...
2026-05-17 00:02:53.109 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250221...
2026-05-17 00:02:53.897 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250220...
2026-05-17 00:02:54.682 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250219...
2026-05-17 00:02:55.486 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250218...
2026-05-17 00:02:56.323 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250217...
2026-05-17 00:02:57.125 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250214...
2026-05-17 00:02:57.899 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250213...
2026-05-17 00:02:58.709 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250212...
2026-05-17 00:02:59.537 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250211...
2026-05-17 00:03:00.358 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250210...
2026-05-17 00:03:01.246 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250207...
2026-05-17 00:03:01.983 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250206...
2026-05-17 00:03:02.782 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250205...
2026-05-17 00:03:03.596 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250127...
2026-05-17 00:03:04.410 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250124...
2026-05-17 00:03:05.161 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250123...
2026-05-17 00:03:05.978 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250122...
2026-05-17 00:03:06.736 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250121...
2026-05-17 00:03:07.508 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250120...
2026-05-17 00:03:08.320 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250117...
2026-05-17 00:03:09.104 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250116...
2026-05-17 00:03:09.896 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250115...
2026-05-17 00:03:14.383 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250114...
2026-05-17 00:03:15.196 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250113...
2026-05-17 00:03:16.003 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250110...
2026-05-17 00:03:16.767 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250109...
2026-05-17 00:03:17.562 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250108...
2026-05-17 00:03:18.339 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250107...
2026-05-17 00:03:19.114 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250106...
2026-05-17 00:03:19.882 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250103...
2026-05-17 00:03:20.697 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250102...
2026-05-17 00:03:21.511 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241231...
2026-05-17 00:03:22.269 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241230...
2026-05-17 00:03:23.029 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241227...
2026-05-17 00:03:23.821 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241226...
2026-05-17 00:03:24.675 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241225...
2026-05-17 00:03:25.489 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241224...
2026-05-17 00:03:26.266 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241223...
2026-05-17 00:03:27.098 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241220...
2026-05-17 00:03:27.896 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241219...
2026-05-17 00:03:28.665 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241218...
2026-05-17 00:03:29.397 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241217...
2026-05-17 00:03:30.239 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241216...
2026-05-17 00:03:31.031 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241213...
2026-05-17 00:03:31.872 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241212...
2026-05-17 00:03:32.679 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241211...
2026-05-17 00:03:33.496 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241210...
2026-05-17 00:03:34.254 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241209...
2026-05-17 00:03:35.065 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241206...
2026-05-17 00:03:35.839 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241205...
2026-05-17 00:03:36.639 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241204...
2026-05-17 00:03:37.426 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241203...
2026-05-17 00:03:38.302 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241202...
2026-05-17 00:03:39.065 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241129...
2026-05-17 00:03:39.876 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241128...
2026-05-17 00:03:40.668 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241127...
2026-05-17 00:03:41.432 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241126...
2026-05-17 00:03:42.262 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241125...
2026-05-17 00:03:43.076 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241122...
2026-05-17 00:03:43.852 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241121...
2026-05-17 00:03:44.654 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241120...
2026-05-17 00:03:45.455 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241119...
2026-05-17 00:03:46.234 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241118...
2026-05-17 00:03:47.060 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241115...
2026-05-17 00:03:47.889 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241114...
2026-05-17 00:03:48.734 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241113...
2026-05-17 00:03:49.533 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20241112...
